"* Required Fields","* Champs requis"
"Partial refund not possible. You may retry with the total transaction amount.","Remboursement partiel n'est pas possible. Le montant est supérieur au montant total."
"Password","Mot de passe"
"Password and password confirmation are not equal.","Mot de passe et confirmation du mot de passe ne sont pas pareils."
"Pay Button Color","Couleur du bouton 'Payer'"
"Pay with ____paymentMethodName____","Payer avec ____paymentMethodName____"
"Payment","Paiement"
"Payment Error Message: !message","Message d'erreur du payment: !message"
"Payment ID","ID de paiement"
"Payment Id","Payment ID"
"Payment Information","Conditions de vente"
"Payment Method","Mode de paiement"
"Payment Method Code","Code du mode de paiement"
"Payment Method Selection Style","Style de la sélection des modes de paiement"
"Payment captured successfully.","Paiement a réussi à capturer."
"Payment could not be authorized. Cancelling order. Reason : ","Le paiement ne peut être autorisée. Commande annulée. Raison:"
"Payment details can be entered after placing the order","Détails de paiement peuvent être insérés après avoir placé la commande"
"Payment from Applicable Countries","Paiement des pays applicables"
"Payment from Specific Countries","Paiement des pays spécifiques"
"Payment from applicable countries","Paiement des pays applicables"
"Payment from specific countries","Paiement des pays spécifiques"
"Payment is pending at DatatransCw","Payment en attente chez DatatransCw"
"Payment method description","Déscription du mode de paiement"
"Payment with %s","Paiement avec %s"
"Payment with Datatrans","Paiement avec  Datatrans"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Les paiements peuvent être actualisés automatiquement (interval en minutes) via API (si activé). Pour utiliser ce fonctionnement il faut configurer un cron pour Magento."
"Pending","En attente"
"Pending DatatransCw","DatatransCw En attente"
"Phone","Téléphone"
"Phone number","Numéro de téléphone"
"Phone number must be set.","Vous devez spécifier un numéro de téléphone valide."
"Place Order","Soumettre la commande"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales avant de passer la commande."
"Please check the entered CVC number.","Veuillez vérifier le numéro CVC entré."
"Please check the entered credit card number.","Veuillez vérifier le numéro de carte de crédit indiqué."
"Please enter here the Bank Identifier Code (BIC).","Veuillez insérer ici le code d'identification de banque (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Insérez le code de sécurité de la carte. Vous le trouverez à l’arrière de la carte"
"Please enter here the International Bank Account Number (IBAN).","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the account holder name on the card.","Veuillez insérer ici le nom du titulaire de la carte."
"Please enter here the account holder name.","Veuillez insérer ici le nom du titulaire du compte."
"Please enter here the account number of your bank account.","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the bank code of your bank.","Veuillez insérer le code de votre banque."
"Please enter here the card holder name on the card.","Veuillez insérer le nom du titulaire de la carte"
"Please enter here the commercial number of your company.","Il faut insérer le numéro de commerce de votre entreprise."
"Please enter here the name of the account owner.","Vous devez insérer le titulaire de compte"
"Please enter here the number on your card.","Veuillez insérer le numéro de carte bancaire."
"Please enter here the sales tax number of your company.","Veuillez insérer ici le numéro de taxe de vente de votre entreprise."
"Please enter here your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Please enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Please enter the name of your bank.","Veuillez insérer ici le nom de votre banque."
"Please enter your IBAN number.","Veuillez insérer votre numéro IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Veuillez insérer votre numéro, s'il n'y a pas de code CVC de votre carte."
"Please enter your phone number.","Veuillez insérer votre numéro de téléphone."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, veuillez changer la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Veuillez vider votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellXed.</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver le cache et veuillez essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation sur PaymentPage et contactez <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Merci de vous identifier:"
"Please select","Sélectionner s'il vous plaît"
"Please select a shipping method before sending the order.","Sélectionnez un mode de livraison avant d'envoyer la commande."
"Please select the Bank Identifier Code (BIC) of your bank.","Veuillez sélectionner le code d'identification de votre banque. (BIC)"
"Please select the brand of your card.","Veuillez sélectionner la marque de votre carte."
"Please select the day of your birth.","Veuillez sélectionner le jour de votre naissance."
"Please select the expiry month on your card.","Sélectionnez le mois de l'expiration de votre carte"
"Please select the expiry year on your card.","Veuillez insérer la date d'expiration de la carte."
"Please select the month of your birth.","Veuillez sélectionner le mois de votre date de naissance."
"Please select the processor for this payment method.","Veuillez sélectionner le processeur pour ce mode de paiement."
"Please select the the year of your birth.","Veuillez  sélectionner l'année de votre date de naissance."
"Please select your gender.","Veuillez sélectionner votre sexe"
"Please wait, processing your order...","Veuillez patienter, le traitement de votre commande..."
"Postal code matches, but street address not verified.","Code postale correspond. Rue de l'adresse n'a pas été vérifiée."
"Powerpay","Powerpay"
"Price","Prix"
"Processor","Processeur"
"Product","Produit"
"Product Name","Nom du produit"
"Purchase Point","Lieu d'achat"
"Qty","Quantité"
"Recurring","Récurrent"
"Recurring Payments","Paiements récurrents"
"Redirect / Lightbox Styling","Styling Redirect / Lightbox"
"Refund Amount","Montant du remboursement"
"Refund ID","ID de remboursement"
"Refund amount","Montant du remboursement"
"Refund information","Information de remboursement"
"Refund status","Statut de remboursement"
"Refunded Amount","Montant du remboursement"
"Refunds","Remboursements"
"Register","Inscrivez-vous"
"Register to Create an Account","S'inscrire pour créer un compte"
"Register with us for future convenience:","Inscrivez-vous chez nous pour plus de commodité dans l'avenir:"
"Release Date","Date de sortie"
"Reset","Réinitialiser"
"Review","Review"
"Rounding Adjustment","Ajustements d'arrondi"
"Rounding adjustment.","Ajustements d'arrondi"
"Row Total","Total de la ligne"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Ventes"
"Sales Tax Number","Numéro de taxe de vente"
"Save","Sauvegarder"
"Saved cards:","Cartes enregistrées:"
"Security Level","Niveau de sécurité"
"See order and shipping status","Voir le statut de la commande et le statut de livraison"
"Select Brand","Sélectionnez le type de la carte"
"Select Card Type","Sélectionnez le type de la carte"
"Select Method","Sélectionner la méthode"
"Select the authorization method to use for processing this payment method.","Sélectionnez un mode d'autorisation pour le traitement de ce mode de paiement."
"Select the date of your birth.","Veuillez sélectionner votre date de naissance."
"Select the date on which your card expires.","Séléctionnez la date d'expiration de la carte."
"Select the security level you want to use. This value must correspond with the selected value in the back-end of Datatrans. Note: In case you use the mail and phone order (MoTo) or the recurring feature you have to set the security level in both account identically.","Sélectionnez le niveau de sécurité que vous souhaitez utiliser. Cette valeur doit correspondre à celle du backend de Datatrans. Si vous utilisez Commande par téléphone ou e-mail (MoTo) ou les paiements récurrents, vous devez définir le niveau de sécurité identique dans les deux comptes."
"Sellxed On Hold","Sellxed En attente"
"Send Invoice Email","Envoyer un e-mail avec la facture"
"Send amounts to Datatrans in base currency.","Envoyer des montants à  Datatrans dans la devise de base."
"Send amounts to Datatrans in store's base currency.","Envoyer les montants à Datatrans dans la devise de base de la boutique."
"Send invoice email","Envoyer la facture"
"Send the invoice email automatically after invoice creation.","Envoyer l'email de facture automatiquement après la création de la facture."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Si vous séléctionnez 'Comptabilisation dirècte' le montant sera tout de suite débité de la carte du client. Si vous séléctionnez 'Comptabilisation retardée' le montant sera débité avec un certain temps défini par vous."
"Set the sign1, sign2 and the settlement parameter in the module exactly the same way as in the security configuration at Datatrans.","Définissez le sign1, sign2 et le paramètre de settlement dans le module exactement de la même façon que dans la configuration de la sécurité chez Datatrans."
"Set the sort order to show the external checkouts.","Définir l'ordre de montrer les checkouts externes."
"Settlement after order","Génération après la commande"
"Setup","Setup"
"Shipping & Handling","Livraison"
"Shipping Address","Adresse de livraison"
"Shipping Address: The shipping address must be the same as during the initial transaction.","Adresse de livraison: L'adresse de livraison doit être la même que l'adresse lors de la transaction initiale."
"Shipping Amount","Montant des frais de livraison"
"Shipping Information","Informations sur la livraison"
"Shipping Method","Mode de livraison"
"Shipping Methods","Modes de livraison"
"Shipping Refund","Remboursement des frais de livraison"
"Shipping and billing addresses do not match.","Les adresses d'expédition et de facturation ne correspondent pas."
"Shop","Shop"
"Shop ID","Shop ID"
"Short Installation Instructions:","Instructions d'installation:"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Est-ce que le montant doit être comptabilisé automatiquement après la commande (direct) ou est-ce que le montant doit seulement être réservé (différé)?"
"Should the customer address be sent to Datatrans?","Est-ce que vous voulez que l'adresse du client est envoyé à Datatrans?"
"Show","Voir"
"Show Account Selection","Voir la sélection de compte"
"Show Further Settings and Information","Afficher plus de paramètres et d'informations"
"Show Image","Afficher Image"
"Show Payment Id","Afficher Payment ID"
"Show the payment id","Présenter l'ID de paiement"
"Show the payment id in the order information","Afficher l'ID de paiement dans le bon de commande"
"Show the payment image","Montrer l'image de paiement"
"Show the payment image on the checkout page","Montrer l'image de paiement sur la page de paiement"
"Sign 2 of Live Account","Signe 2 du compte live"
"Sign 2 of Live MoTo Account","Signe 2 du compte live MoTo"
"Sign 2 of Live Recurring Account","Sign2 du compte récurrent live"
"Sign 2 of Test Account","Signe 2 du compte test"
"Sign 2 of Test MoTo Account","Signe 2 du compte test MoTo"
"Sign 2 of Test Recurring Account","Sign2 du compte récurrent test"
"Sign In","Connexion"
"Sign Settlement Requests","Signature à appliquer aux décomptes"
"Sign of Live Account","Signe du compte live"
"Sign of Live MoTo Account","Signe du compte live MoTo"
"Sign of Live Recurring Account","Signe du compte récurrent live"
"Sign of Test Account","Signe du compte test"
"Sign of Test MoTo Account","Signe du compte test MoTo"
"Sign of Test Recurring Account","Signe du compte récurrent test"
"Social Security Number","Numéro de sécurité sociale"
"Solvency Check","Vérification de solvabilité"
"Sort Order","Ordre De Tri"
"State must be set on address.","State must be set on address."
"Status","Statut"
"Store the payment details","Enregistrer les détails de paiement"
"Stored payment details","Détails de paiement enregistrées"
"Street address and 5-digit postal code match.","Rue et code postale à 5 chiffres correspondent."
"Street address and 9-digit postal code match.","La rue de l'adresse et le code postale à 9 chiffres correspondent."
"Street address and postal code do not match.","La rue de l'adresse correspond, mais le code postale à 5 chiffres et 9 chiffres ne correspondent pas."
"Street address and postal code match.","Rue de l'adresse et code postale correspondent"
"Street address does not match, but 5-digit postal code matches.","Rue de l'adresse ne correspond pas. Un code postale à 5 chiffres correspond."
"Street address does not match, but 9-digit postal code matches.","Rue de l'adresse ne correspond pas. Un code postale à 9 chiffres correspond."
"Street address matches, but 5-digit and 9-digit postal code do not match.","La rue de l'adresse correspond, mais le code postale à 5 chiffres et 9 chiffres ne correspondent pas."
"Street address matches, but postal code not verified.","La rue de l'adresse correspond, mais le code postale n'a pas été vérifié."
"Styling Options","Options de design"
"Submit Order","Confirmer la commande"
"Submitting order information...","Soumission des données de la commande..."
"Subtotal","Sous-total"
"Success","Succès"
"Successful","Succès"
"Successful online refund of amount","Remboursement en ligne réussie de montant"
"Successful payment authorization.","Paiement autorisé"
"Successfull online refund of amount","Remboursement en ligne réussie de montant"
"Support","Support"
"Swissbilling","Swissbilling"
"System unavailable.","Le système n'est pas disponible"
"Tax Amount","Montant de l'impôt"
"Technical issue: This payment methods is not available at the moment.","Problème technique: Cette méthode de paiement n'est pas disponible en ce moment."
"Test Environment","Environnement de test"
"Test Mode","Mode test"
"Test Transaction","Transaction de test"
"The HMAC key as defined in the live backoffice of Datatrans. You may need generate the HMAC key. Please take a look at the manual how to do this.","La clé HMAC tel que défini dans le backoffice de production de Datatrans. Vous devrez peut-être générer la clé HMAC. Veuillez jeter un coup d'oeil sur le manuel pour savoir comment faire cela."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Le schéma de mandat SEPA ne contient pas le mot-clé '!tag'. Ce mot-clé est obligatoire."
"The alias could not be found.","L'alias na pas été trouvé."
"The alias has been deleted.","L'alias a été supprimé."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","La transaction alias n'a pas pu être réalisée. Code d'erreur: !code et raison: !reason"
"The amount could not be verified.","Le montant n'a pas pu être vérifié."
"The amount of !amount is authorized.","Le montant de !amount est autorisé."
"The amount of !amount is captured.","Le montant de !amount est capturé."
"The amount of the transaction (!transactionAmount) and the amount of in the callback (!callbackAmount) do not correspond.","Le montant de la transaction (!transactionAmount) et le montant du callback (!callbackAmount) ne correspondent pas."
"The authorization method '!method' is not supported.","Le mode d'autorisation '!method' n'est pas accepté."
"The authorization number returned by credit card issuing bank.","Le numéro d'autorisation, qui a été renvoyé par l'émetteur de la carte."
"The authorization status indicates the status of the transaction. The status may differ from the effective status, because this field is set direclty after the authorization and it may not be updated.","Le statut de l'autorisation indique le statut de la transaction. Ce statut peut être différent du statut actuel, car il est inséré directement après l'autorisation et ne peut pas être actualisé."
"The authorization was not successful","Erreur d'autorisation. Autorisation sans succès."
"The bank account number field cannot be empty.","Le champ du numéro de compte bancaire ne peut pas être vide."
"The bank code field cannot be empty.","Le champ du code de banque ne peut pas être vide."
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Le type de la carte de crédit est détecté par le numéro de la carte si une autorisation cachée est utilisé. Si la page de paiement est utilisé, l'utilisateur doit sélectionner la marque. Les marques de cartes de crédit autorisés peuvent être limitées par ce paramètre."
"The brand with external name '!key' was not present in the map.","La marque avec le nom externe '!key' n'était pas présent dans la carte."
"The brand with key '!key' was not found in the card information map.","La marque '!key' n'a pas été trouvée dans les marques disponibles."
"The cancellation could not be conducted. Error code: !error.","L'annulation n'a pas pu être réalisée. Code d'erreur: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Le montant de comptabilisation (!captureAmount) ne peut pas être supérieur au montant autorisé (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'élément de capture avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'élément d'origine (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","L'élément de capture avec SKU '@sku' n'est pas présent dans la commande original."
"The capturing could not be conducted. Error code: !error.","La capture n'a pas pu être réalisée. Code d'erreur: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La sélection de la marque de la carte se fait automatiquement à partir du numéro de carte inséré. Si Javascript n'est pas actif dans le navigateur, un menu déroulant apparaît. Si JavaScript est activé, les logos de marques peuvent être affichées. Afficher les logos au lieu du menu déroulant?"
"The checkout process was not successful. Please try again.","Le processus de la commande n'a pas réussi. Veuillez réessayer."
"The color of the text in the header bar if no logo is given. Possible Values: &quot;white&quot; or &quot;black&quot;","La couleur du texte dans l'en-tête si aucun logo est donnée. Valeurs possibles: &quot;white&quot; or &quot;black&quot;"
"The color of your brand. The colors can be specified by their hexadecimal code (#FFFFFF) or empty for default value.","La couleur de votre Brand. Les couleurs peuvent être indiqués par leur code hexadécimal (#FFFFFF) ou vide pour choisir la valeur par défaut."
"The configuration has been saved.","La configuration a été enregistrée."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Le contrôleur '@controller' ne fournit pas de méthode avec l'annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' et de données valides."
"The credit limit is exceeded. Please use a different payment method.","Dépassement de la limite de crédit. Veuillez utiliser un autre moyen de paiement."
"The currency of the transaction (!transactionCurrency) and the currency of in the callback (!callbackCurrency) do not correspond.","La devise de la transaction (!transactionCurrency) et la devise du callback (!callbackCurrency) ne correspondent pas."
"The customer country code (ISO code) as returned by the issuer for this card.","Le code de pays du client (code ISO), renvoyé par l'émetteur de cette carte."
"The customer does not finish the payment with in the timeout.","Le client n'a pas fini le paiement dans le délai imparti."
"The date of birth is required.","La date de naissance doit être indiquée."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Le format doit être '!format' où le 'MM' veut indiquer le numéro du mois et 'AA' le numéro de l'année."
"The gender is required.","Le sexe doit être spécifié."
"The given CVC code has the wrong length.","Le code CVC inséré a une longeur incorecte."
"The given card number has an invalid check sum.","Le numéro de carte donné a une somme de contrôle invalide."
"The given card number has an invalid length.","Le numéro de carte inséré a une longueur invalide."
"The given hmac key is empty.","La clé HMAC donnée est vide."
"The given identifier is empty.","L'identificateur donné est vide."
"The given password is empty.","Le mot de passe donné est vide."
"The given rang is empty. It must be a nummeric value with length of two.","Le champ 'rang' donné est vide. Il doit être une valeur nummerique avec une longueur de deux."
"The given rang is invalid. It must be a nummeric value with length of two.","Le champ 'rang' n'est pas valide. Il doit être une valeur numérique avec une longueur de deux."
"The given site number is empty.","Le nombre de site donné est vide."
"The header logo's display style. Possible values: &quot;circle&quot; , &quot;rectangle&quot; or &quot;none&quot;","Style du logo de l'en-tête. Valeurs possibles: &quot;circle&quot; , &quot;rectangle&quot; ou &quot;none&quot;"
"The identifier as defined in the backoffice of Datatrans.","L'identifiant tel que défini dans le backoffice de Datatrans."
"The invoice could not be captured and processed by","La facture n'a pas pu être comptabilisée et traitée par Datatrans."
"The invoice could not be captured and processed. Reason:","La facture n'a pas pu être capturée et traitée. Raison:"
"The invoice could not be found.","La facture n'a pas été trouvée."
"The invoice has been changed.","La facture a été changé."
"The invoice no longer exists.","La facture n'existe plus."
"The layout does not contain the tag '!layout_tag'.","Le layout ne contient pas le mot-clé '!layout_tag'."
"The merchant id given by Datatrans for mail and phone orders (MoTo) and for recurring payments. This merchant id is used for the live environment.","L'ID de marchand de Datatrans. Cet ID est nécessaire pour l'environnement de test."
"The merchant id given by Datatrans for mail and phone orders (MoTo) payments. This merchant id is used for the live environment.","L'ID de marchand donné par Datatrans  pour les paiements par e-mail ou téléphone (MoTo). Cet ID de marchand est utilisé pour l'environnement de production."
"The merchant id given by Datatrans for recurring payments. This merchant id is used for the live environment.","L'ID de marchand donné par Datatrans  pour les paiements récurrents. Cet ID de marchand est utilisé pour l'environnement de production."
"The merchant id given by Datatrans. This merchant id is used for the live environment.","L'ID de marchand donnée par Datatrans. Cet ID est utilisé pour l'environnement de production."
"The next update execution date indicates when the next cron is run to update the transaction state.","La prochaine date d'exécution de mise à jour indique lorsque le cron suivant sera exécuté pour mettre à jour l'état de la transaction."
"The one click checkout allows the customer to select from a credit card previously stored. The credit card data is stored by Datatrans. To use this feature you need the option 'Alias'.","Le one click checkout permet au client de sélectionner à partir d'une carte de crédit précédemment stockée. Les données de la carte de crédit est stocké par Datatrans. Pour utiliser cette fonctionnalité, vous avez besoin de l'option 'Alias'."
"The order is not fully completed. Please contact the store owner.","Le paiement ne peut être effectué."
"The payment form will be displayed after submitting the order.","La forme de paiement sera affichée après avoir confirmé la commande."
"The payment has been accepted.","Le paiement a été accepté"
"The payment has been denied.","Le paiement a été refusé."
"The payment method !paymentMethod does not support recurring payment.","La méthode de paiement ne prend pas en charge le paiement récurrent."
"The payment method !paymentMethodName does not support the currency '!currency'.","La méthode de paiement !paymentMethodName ne supporte pas la devise '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","La méthode de paiement !paymentMethodName n'est pas disponible dans votre pays ('!country')."
"The payment provider declined the transaction (Error Code 10). Household can not be identified at the given address.","Le fournisseur de paiement a rejeté la transaction (code d'erreur 10). Le ménage n'est pas connu à l'adresse indiquée."
"The payment provider declined the transaction (Error Code 4). Your address is postally incorrect. Please check again if your address was entered correctly.","Le fournisseur de paiement a refusé la transaction (code d'erreur 4). L'adresse est incorrecte. Veuillez vérifier l'adresse et réessayer si nécessaire."
"The payment provider declined the transaction. For more information visit <a href='https://byjuno.ch/#dataprotection' target='_blank'>https://byjuno.ch/#dataprotection.</a>","Le fournisseur de paiement a rejeté la transaction. Pour plus d'informations, rendez-vous sur <a href='https://byjuno.ch/#dataprotection' target='_blank'>https://byjuno.ch/#dataprotection.</a>"
"The payment update has been made.","La mise à jour de paiement a été effectué."
"The provided signature does not match with the one calculated.","La signature fournie ne correspond pas à celle calculée."
"The rang (PBX_RANG) as defined in the live backoffice of Datatrans. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Le champ 'rang' (PBX_RANG) tel que défini dans le backoffice de production de Datatrans. Il doit être nummeric avec deux caractères de long. Dans le backoffice il peut être affiché comme trois caractères. Vous devez tronquer le premier chiffre."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","L'article de remboursement avec SKU '@sku' a un montant plus élevé (@amountItem) comme l'article d'origine (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","L'article de remboursement avec SKU '@sku' n'est pas présent dans la commande originale."
"The refunding could not be conducted. Error code: !error.","Le remboursement n'a pas pu être réalisé. Code d'erreur: !error."
"The shopping cart has been altered!","Le panier a été changé!"
"The sign2 calculated and the sign2 in the callback do not correspond.","Le sign2 calculé et le sign2 dans la réponse ne correspondent pas."
"The signature could not be verified.","La signature ne peut pas être vérifiée."
"The site id (PBX_RANG) as defined in the backoffice of Datatrans.","L'identifiant du site (PBX_RANG) tel que défini dans le backoffice de Datatrans."
"The solvency check can be done at different stages in the checkout process. This setting controls when the check is done.","La vérification de la solvabilité peut être effectuée à différentes étapes pendant la procédure de paiement. Ce paramètre détermine si la vérification est effectuée."
"The test merchant id given by Datatrans for mail and phone orders (MoTo) and for recurring payments. This merchant id is used for the test environment.","L'ID de marchand de Datatrans pour commandes par e-mail et téléphone (MoTo). Cet ID est nécessaire pour l'environnement test."
"The test merchant id given by Datatrans for recurring payments. This merchant id is used for the test environment.","L'identifiant de marchand de test fourni par Datatrans pour les paiements récurrents. Cet identifiant est utilisé pour l'environnement de test."
"The test merchant id given by Datatrans. This merchant id is used for the test environment.","L'ID de marchand de Datatrans. Cette ID est nécessaire pour l'environnement de test."
"The total amount could not be correctly calculated. Please contact the shop owner.","La somme totale n'a pa pu être calculé correctement. Veuillez contacter le propriétaire du magasin."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Le montant total du remboursement (!totalRefundedAmount) ne peut pas être supérieur à la quantité capturée (!capturedAmount)."
"The transaction cannot be cancelled online.","La transaction ne peut être annulée en ligne."
"The transaction cannot be captured online.","La transaction ne peut être capturée en ligne"
"The transaction cannot be refunded online.","La transaction ne peut être remboursé en ligne."
"The transaction failed with an unkown error.","La transaction a échouée avec une erreur inconnue."
"The transaction failed with error code !code.","L'opération a échoué avec le code d'erreur: !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transaction a est exécutée uniquement dans le système de test. Les produits ne doivent pas être livrés."
"The transaction was declined.","La transaction a été refusée."
"The uncertain transaction was accepted.","La transaction non garantie a été acceptée."
"The uncertain transaction was finally declined.","La transaction non garantie a finalement été rejetée."
"The validation failed with the message: !message (!detail).","La validation a échoué avec le message: !message (!detail)."
"The whole transaction is cancelled.","Toute la transaction a été annulée."
"There has been a problem during the processing of your payment.","Il y a eu un problème lors du traitement de votre paiement."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Il ya eu un problème lors du traitement de votre paiement. Veuillez contacter le propriétaire de la boutique pour vous assurer que votre commande a été placée avec succès."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Il y a un problème avec votre licence. S'il vous plaît nous (www.sellxed.com/support) contacter. Raison: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","Il y a un problème avec votre licence. S'il vous plaît contactez-nous (www.sellxed.com/support). Raison: %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il y a déjà un client enregistré avec cette adresse e-mail. Connectez-vous à l'aide de cette adresse ou insérez une adresse e-mail différente pour l'enregistrer votre compte."
"There seems to be a problem with the Datatrans module.","Il semble avoir un problème avec le module de Datatrans."
"There was an error validating the login and password.","ll y eu une erreur pendant la validation du login et du mot de passe."
"This URL has to be placed in the backend of Datatrans under UPP Administration > URL Post.","Cette URL doit être placée dans le backend de Datatrans sous UPP Administration > URL Post."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Ce compte n'est pas confirmé. <a href=""%s"">Cliquez ici</a> pour renvoyer l'email de confirmation."
"This information must be printed on an invoice slip, and delivered to the customer with the goods.","This information must be printed on an invoice slip, and delivered to the customer with the goods."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Datatrans module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Ceci est une brève instruction des étapes de l'installation, qui doivent être effectuées lors de l'installation du module Datatrans. Pour obtenir des instructions détaillées concernant les paramètres supplémentaires et optionnels, veuillez vous référer aux instructions dans le zip du module."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Datatrans account.","Ce mot de passe est utilisé pour les paiements récurrents et pour la gestion des alias, ainsi que pour l'autorisation du serveur. C'est le mot de passe du compte Datatrans."
"This payment method is currently unavailable.","Ce méthode de paiement est actuellement indisponible."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Ce setting peut être utilisé pour activer ou désactiver le contrôle 3D Secure. Veuillez vérifier avec PayBox si vous êtes autorisé à désactiver le contrôle 3D Secure. Ce paramètre aura seulement un effet que si vous utilisez la page de paiement."
"This setting controls the height of the integrated iFrame. It is recommended to set this value to at least 400.","Ce paramètre détermine l'hauteur de l'iFrame intégré. Il est recommandé de définir cette valeur au moins 400."
"This setting controls the user identification for alias manager (one-click checkout) transactions. In case the shipping address is checked and the addresses do not match the CVC the user is forced to reenter all the credit card details.","Ce paramètre contrôle l'identification de l'utilisateur pour la gestion des transactions avec alias (one-click checkout). Dans le cas si l'adresse de livraison est cochée et les adresses ne correspondent pas au CVC, l'utilisateur est obligé d'insérer tous les détails de sa carte à nouveau."
"This status is set, when the payment was successfull and it is authorized.","Cet état est défini, lorsque le paiement a été un succès et il est autorisé."
"This transaction is already closed for further captures.","Cette transaction a déjà été fermée pour plus de comptabilisations."
"This transaction is already closed for further refunds.","Cette transaction a déjà été fermée pour d'autres remboursements."
"This transaction no longer exists.","Cette transaction n'existe plus."
"Timeout for pending payments (min)","Timout pour les paiements en attente (min.)"
"Titel","Titre"
"Title","Titre"
"Title of the payment method","Nom de la méthode de paiement"
"Total","Total"
"Total Shipping Charges","Total des frais d'expédition"
"Track order history","Suivi de la commande"
"Transaction","Transaction"
"Transaction Authorized","Transaction autorisée"
"Transaction Cancelled","Transaction annulée"
"Transaction Captured","Transaction comptabilisée"
"Transaction History","Relevé des opérations"
"Transaction ID Prefix","Transaction ID Prefix"
"Transaction Id","Transaction ID"
"Transaction Paid","Transacion payée"
"Transaction Uncertain","La transaction est incertaine"
"Transaction Updates","Mises à jour pour les transactions"
"Transaction cancelled successfully","La transaction a été annulée"
"Transaction captured successfully","Transaction capturé avec succès"
"Transaction history","Historique de transactions"
"Transaction timed out, because customer never completed the checkout","Transaction expirée, car le client n'a jamais terminé le checkout"
"Transaction was authorized over the deferred authorization mechanism.","L'opération a été autorisée avec le mécanisme d'autorisation différé."
"Transactions","Transactions"
"URLs","URLs"
"Unable to save the invoice.","Impossible d'enregistrer la facture."
"Uncertain Status","Statut incertain"
