"* Required Fields","* campo obbligatorio"
"Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"Payment","Pagamento"
"Payment Error Message: !message","Messaggio di errore di pagamento: !message"
"Payment ID","Payment ID"
"Payment Id","ID pagamento"
"Payment Information","Informazioni sul pagamento"
"Payment Method","Metodo di pagamento"
"Payment Method Code","Codice di metodo di pagamento"
"Payment Method Selection Style","Stile della selezione del metodo di pagamento"
"Payment captured successfully.","Pagamento salvato con successo."
"Payment could not be authorized. Cancelling order. Reason : ","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from specific countries","Pagamento da paesi specifici"
"Payment is pending at DatatransCw","Pagamento in sospeso in DatatransCw."
"Payment method description","Descrizione di metodo di pagamento"
"Payment with %s","Pagamento con %s"
"Payment with Datatrans","Pagamenti con ____ paymentServiceProviderName____"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Pending","In sospeso"
"Pending DatatransCw","DatatransCw in attesa"
"Phone","Telefono"
"Phone number","Numero di telefono"
"Phone number must be set.","Deve essere inserito un numero di telefono."
"Place Order","Fare un ordine"
"Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Please enter your phone number.","Devi inserire il tuo numero di telefono."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Please log in below:","Log in"
"Please select","Si prega di selezionare"
"Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Please select the brand of your card.","Seleziona la marca della scheda."
"Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Please select the month of your birth.","Seleziona il mese di nascita."
"Please select the processor for this payment method.","Si prega di selezionare il processore per questo metodo di pagamento."
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Please select your gender.","Seleziona il genere"
"Please wait, processing your order...","Per favore attendi, elaborando il tuo ordine..."
"Postal code matches, but street address not verified.","Codice postale corrisponde. Strada non verificata."
"Powerpay","Powerpay"
"Price","Prezzo"
"Processor","Processore"
"Product","Prodotto"
"Product Name","Nome del prodotto"
"Purchase Point","Luogo di acquisto"
"Qty","Quantità"
"Recurring","Ricorrente"
"Recurring Payments","Pagamenti ricorrenti"
"Redirect / Lightbox Styling","Stile Redirect / Lightbox"
"Refund Amount","Importo rimborsato"
"Refund ID","ID rimborso"
"Refund amount","Importo rimborsato"
"Refund information","Informazione sul rimborso"
"Refund status","Status rimborso"
"Refunded Amount","Importo rimborsato"
"Refunds","Crediti"
"Register","Registrarsi"
"Register to Create an Account","Iscriviti per creare un account"
"Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Release Date","Data di rilascio"
"Reset","Reset"
"Review","Revisione"
"Rounding Adjustment","Arrotondamenti"
"Rounding adjustment","Rounding adjustment"
"Rounding adjustment.","Rounding adjustment."
"Row Total","Totale riga"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Vendite"
"Sales Tax Number","Numero tasse vendite"
"Save","Salva"
"Saved cards:","Carte salvate"
"Security Level","Livello di sicurezza"
"See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Select Brand","Seleziona Marca"
"Select Card Type","Seleziona Marca"
"Select Method","Seleziona metodo"
"Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Select the date of your birth.","Inserisci la data di nascita"
"Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Select the security level you want to use. This value must correspond with the selected value in the back-end of Datatrans. Note: In case you use the mail and phone order (MoTo) or the recurring feature you have to set the security level in both account identically.","Scegliere il livello di protezione che si desidera utilizzare. Questo valore deve corrispondere a quello del backend di Datatrans. NB: Se si utilizza ordina per mail o telefono (MoTo) o pagamenti ricorrenti, é necessario impostare il livello di sicurezza uguale in entrambi gli account."
"Sellxed On Hold","Sellxed In attesa"
"Send Invoice Email","Invia la fattura per email"
"Send amounts to Datatrans in base currency.","Invia l'importo a Datatrans  in base alla valuta."
"Send amounts to Datatrans in store's base currency.","Invia importo a Datatrans  nella valuta base del negozio."
"Send invoice email","Invia la fattura via email"
"Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Set the sign1, sign2 and the settlement parameter in the module exactly the same way as in the security configuration at Datatrans.","Imposta il sign1, sign2  e l'impostazione di settlement nel modulo esattamente nello stesso modo che nella configurazione di sicurezza in Datatrans."
"Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Settlement after order","Creazione dopo l'ordine"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Address: The shipping address must be the same as during the initial transaction.","Indirizzo di spedizione: L'indirizzo di spedizione deve essere lo stesso durante la transazione iniziale."
"Shipping Amount","Importo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping Refund","Rimborso della spedizione"
"Shipping and billing addresses do not match.","L'indirizzo di spedizione e quello di fatturazione non corrispondono."
"Shop","Shop"
"Shop ID","ID Negozio"
"Short Installation Instructions:","Istruzioni per l'installazione breve:"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Qualora l'importo venga addebitato automaticamente dopo l'ordine (diretta) o solo bloccato (ritardato)?"
"Should the customer address be sent to Datatrans?","Decidi se inviare l'indirizzo di fatturazione inviato a Datatrans. Si consiglia di non inviare l'indirizzo."
"Show","Mostra"
"Show Account Selection","Mostra la selezione dell'account"
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Show Image","Mostra immagine"
"Show Payment Id","Mostra il Payment Id"
"Show the payment id","Mostra il payment ID"
"Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Show the payment image","Mostra l'immagine di pagamento"
"Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Sign 2 of Live Account","Segno 2 dei conti live"
"Sign 2 of Live MoTo Account","Segno 2 dei conti MoTo live"
"Sign 2 of Live Recurring Account","Sign2 di Conto Live Ricorrenti"
"Sign 2 of Test Account","Segno 2 dei conti test"
"Sign 2 of Test MoTo Account","Segno 2 dei conti MoTo"
"Sign 2 of Test Recurring Account","Sign2 di conto ricorrente test"
"Sign In","Log in"
"Sign Settlement Requests","Firmare le richieste di accordo"
"Sign of Live Account","Segno dei conti live"
"Sign of Live MoTo Account","Segno dei conti MoTo live"
"Sign of Live Recurring Account","Segno di Conto Live Ricorrente"
"Sign of Test Account","Segno dei conti test"
"Sign of Test MoTo Account","Segno dei conti MoTo test"
"Sign of Test Recurring Account","Segno di account test ricorrente"
"Social Security Number","Social Security Number"
"Solvency Check","Controllo di solvibilità."
"Sort Order","Sort Order"
"State must be set on address.","State must be set on address."
"Status","Stato"
"Store the payment details","Salvare i dati di pagamento"
"Stored payment details","Dettagli di pagamento memorizzate"
"Street address and 5-digit postal code match.","Strada e codice postale a 5 cifre corrispondono."
"Street address and 9-digit postal code match.","Strada e codice postale a 9 cifre corrispondono."
"Street address and postal code do not match.","Strada e codice postale non corrispondono."
"Street address and postal code match.","Strada e codice postale corrispondono."
"Street address does not match, but 5-digit postal code matches.","Il codice postale a 5 cifre corrisponde, ma la strada non corrisponde."
"Street address does not match, but 9-digit postal code matches.","Codice postale a 9 cifre corrisponde. Strada non corrisponde."
"Street address matches, but 5-digit and 9-digit postal code do not match.","Strada e codice postale non corrispondono."
"Street address matches, but postal code not verified.","Strada corrisponde. Codice postale non verificato."
"Styling Options","Opzioni di design"
"Submit Order","Conferma l'ordine"
"Submitting order information...","Invio informazioni sull'ordine ..."
"Subtotal","Totale parziale"
"Success","Successo"
"Successful","Successo"
"Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Successful payment authorization.","Pagamento autorizzato con successo."
"Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Support","Supporto"
"Swissbilling","Swissbilling"
"System unavailable.","Il sistema non é disponibile."
"Tax Amount","Importo Tassa"
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Test Environment","Modalità test"
"Test Mode","Test Mode"
"Test Transaction","Test per la transazione"
"The HMAC key as defined in the live backoffice of Datatrans. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Datatrans. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"The alias could not be found.","L'alias non é stato trovato."
"The alias has been deleted.","L'alias é stato cancellato."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"The amount of !amount is captured.","La quantità di !amount é registrata."
"The amount of the transaction (!transactionAmount) and the amount of in the callback (!callbackAmount) do not correspond.","L'importo della transazione (!transactionAmount) e l'importo di un callback (!callbackAmount) non corrispondono."
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"The authorization number returned by credit card issuing bank.","Il numero di autorizzazione, che é stato restituito da parte dell'emittente della carta."
"The authorization status indicates the status of the transaction. The status may differ from the effective status, because this field is set direclty after the authorization and it may not be updated.","Lo stato di autorizzazione indica lo stato della transazione. Questo stato può essere diverso dallo stato attuale perché lo stato é impostato subito dopo l'autorizzazione e non può essere aggiornato."
"The authorization was not successful","The authorization was not successful"
"The bank account number field cannot be empty.","Il campo del numero di conto bancario deve essere compilato"
"The bank code field cannot be empty.","Il campo Codice Banca deve essere riempito"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Il tipo di carta di credito viene rilevato dal numero della carta se viene utilizzata l'autorizzazione nascosta (Hidden Authorization). Se si utilizza la pagina di pagamento, l'utente deve selezionare la marca. Le marche delle carte di credito autorizzate possono essere limitate in questa impostazione."
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","La selezione del marchio della carta avviene automaticamente a seconda del numero di carta inserito. Se Javascript é disattivato nel browser, viene visualizzato un menu a tendina. Nel caso in cui JavaScript sia attivo, i loghi possono  essere mostrati. La selezione della marca deve mostrare immagini?"
"The checkout process was not successful. Please try again.","Il processo di pagamento non é andato a buon fine. Si prega di provare di nuovo."
"The color of the text in the header bar if no logo is given. Possible Values: &quot;white&quot; or &quot;black&quot;","Il colore del testo nell'header se non é fornito il logo. Valori possibili: &quot;white&quot; or &quot;black&quot;"
"The color of your brand. The colors can be specified by their hexadecimal code (#FFFFFF) or empty for default value.","Colore della marca. I colori possono essere specificati dal loro codice esadecimale (#FFFFFF) o lasciarlo vuoto per il valore di default."
"The configuration has been saved.","La configurazione é stata salvata."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"The credit limit is exceeded. Please use a different payment method.","Il limite di credito é stato superato. Si prega di utilizzare un altro metodo di pagamento."
"The currency of the transaction (!transactionCurrency) and the currency of in the callback (!callbackCurrency) do not correspond.","La valuta della transazione (!transactionCurrency) e la valuta di un callback (!callbackCurrency) non corrispondono."
"The customer country code (ISO code) as returned by the issuer for this card.","Il codice del paese del cliente (codice ISO) come restituito dal codice del paese emittente della carta."
"The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"The date of birth is required.","È richiesta la data di nascita."
"The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.","Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno."
"The gender is required.","Il sesso deve essere specificato."
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The header logo's display style. Possible values: &quot;circle&quot; , &quot;rectangle&quot; or &quot;none&quot;","Lo stile di visualizzazione del logo nell'header. Valori possibili: &quot;circle&quot; , &quot;rectangle&quot; or &quot;none&quot;"
"The identifier as defined in the backoffice of Datatrans.","The identifier as defined in the backoffice of Datatrans."
"The invoice could not be captured and processed by","Il conto non può essere contabilizzato o trattato da Datatrans."
"The invoice could not be captured and processed. Reason:","La fattura non può essere registrata e processata. Causa:"
"The invoice could not be found.","La fattura non é stato trovata."
"The invoice has been changed.","La fattura é stata cambiata."
"The invoice no longer exists.","La fattura non esiste più."
"The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"The merchant id given by Datatrans for mail and phone orders (MoTo) and for recurring payments. This merchant id is used for the live environment.","Il merchant ID fornito da Datatrans per gli ordini via mail o telefono (MoTo) o pagamenti ricorrenti. Questo merchant ID é necessario per la modalità live."
"The merchant id given by Datatrans for mail and phone orders (MoTo) payments. This merchant id is used for the live environment.","Il merchant id fornito da Datatrans per i pagamenti degli ordini via email e telefono (MoTo). Questo merchant id é utilizzato per la modalità live."
"The merchant id given by Datatrans for recurring payments. This merchant id is used for the live environment.","Il merchant id fornito da Datatrans per i pagamenti ricorrenti. Questo merchant id é usato per la modalità live."
"The merchant id given by Datatrans. This merchant id is used for the live environment.","Il merchant ID di Datatrans. Questo merchant ID é necessario per la modalità live."
"The next update execution date indicates when the next cron is run to update the transaction state.","La data del prossimo aggiornamento indica quando il prossimo cron é lanciato per aggiornare lo stato della transazione."
"The one click checkout allows the customer to select from a credit card previously stored. The credit card data is stored by Datatrans. To use this feature you need the option 'Alias'.","Il One Click checkout permette al cliente di scegliere tra una carta di credito precedentemente salvata. I dati della carta di credito vengono memorizzati da Datatrans. Per utilizzare questa funzione é necessaria l'opzione 'Alias'."
"The order is not fully completed. Please contact the store owner.","Il pagamento non ha potuto andare a buon fine."
"The payment form will be displayed after submitting the order.","Il formulario di pagamento sarà mostrato dopo aver effettuato l'ordine."
"The payment has been accepted.","Il pagamento é stato accettato."
"The payment has been denied.","Il pagamento é stato rifiutato."
"The payment method !paymentMethod does not support recurring payment.","Il metodo di pagamento non supporta il pagamento ricorrente."
"The payment method !paymentMethodName does not support the currency '!currency'.","ll metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"The payment provider declined the transaction (Error Code 10). Household can not be identified at the given address.","Il fornitore di pagamento ha rifiutato la transazione (codice di errore 10). Il nucleo familiare non risulta all’indirizzo indicato."
"The payment provider declined the transaction (Error Code 4). Your address is postally incorrect. Please check again if your address was entered correctly.","Il fornitore di pagamento ha rifiutato la transazione (codice di errore 4). L'indirizzo non è corretto. Si prega di verificare e riprovare se necessario"
"The payment provider declined the transaction. For more information visit <a href='https://byjuno.ch/#dataprotection' target='_blank'>https://byjuno.ch/#dataprotection.</a>","Il fornitore di pagamento ha rifiutato la transazione. Per maggiori informazioni visita <a href='https://byjuno.ch/#dataprotection' target='_blank'>https://byjuno.ch/#dataprotection</a>."
"The payment update has been made.","L'aggiornamento del pagamento é stato fatto."
"The provided signature does not match with the one calculated.","La firma fornita non corrisponde a quella calcolata."
"The rang (PBX_RANG) as defined in the live backoffice of Datatrans. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of Datatrans. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto rimborsato con SKU '@sku' ha una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The refund item with SKU '@sku' is not present in the original order.","Il prodotto rimborsato con SKU '@sku' non é presente nell'ordine originale."
"The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"The shopping cart has been altered!","Il carrello é stato modificato!"
"The sign2 calculated and the sign2 in the callback do not correspond.","Il sign2 calcolato e il sign2 nella richiamata non corrispondono."
"The signature could not be verified.","The signature could not be verified."
"The site id (PBX_RANG) as defined in the backoffice of Datatrans.","The site id (PBX_RANG) as defined in the backoffice of Datatrans."
"The solvency check can be done at different stages in the checkout process. This setting controls when the check is done.","Il controllo di solvibilità può essere effettuato a diversi stati del processo di checkout. Questa impostazione definisce quando il controllo deve essere fatto."
"The test merchant id given by Datatrans for mail and phone orders (MoTo) and for recurring payments. This merchant id is used for the test environment.","Il test merchant ID di Datatrans per gli ordini via mail o telefono (MoTo) o pagamenti ricorrenti. Questo merchant ID é necessario per la modalità test."
"The test merchant id given by Datatrans for recurring payments. This merchant id is used for the test environment.","Il merchant id fornito da Datatrans per i pagamenti ricorrenti. Questo merchant id  viene utilizzato per la modalità test."
"The test merchant id given by Datatrans. This merchant id is used for the test environment.","Il test merchant ID di Datatrans. Questo merchant ID é necessario per l'ambiente test."
"The total amount could not be correctly calculated. Please contact the shop owner.","L'importo totale non é stato calcolato correttamente. Contatta il proprietario del negozio."
"The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo totale rimborsato (!totalRefundedAmount) non può essere superiore all'importo acquisito (!capturedAmount)."
"The transaction cannot be cancelled online.","Impossibile cancellare la transazione online."
"The transaction cannot be captured online.","Impossibile registrare la transazione online."
"The transaction cannot be refunded online.","Impossibile rimborsare la transazione online."
"The transaction failed with an unkown error.","L'operazione non é a buon fine a causa di un errore sconosciuto."
"The transaction failed with error code !code.","The transaction failed with error code !code."
"The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"The transaction was declined.","Transazione rifiutata."
"The uncertain transaction was accepted.","La transazione non garantita è stata accettata."
"The uncertain transaction was finally declined.","La transazione non garantita è stata infine respinta."
"The validation failed with the message: !message (!detail).","La convalida non é andata a buon fine a causa con il messaggio: !message (!detail)."
"The whole transaction is cancelled.","L'intera transazione é stata annullata."
"There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"There seems to be a problem with the Datatrans module.","Sembra esserci un problema con il modulo Datatrans."
"There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"This URL has to be placed in the backend of Datatrans under UPP Administration > URL Post.","Questo URL deve essere inserito nel backend di Datatrans  sotto UPP Administration > URL Post."
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"This information must be printed on an invoice slip, and delivered to the customer with the goods.","This information must be printed on an invoice slip, and delivered to the customer with the goods."
"This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Datatrans module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Questa é una breve istruzione delle fasi di installazione più importanti, che devono essere eseguite quando si installa il modulo Datatrans. Per istruzioni dettagliate relative alle impostazioni aggiuntive e opzionali, consultare le istruzioni allegate nello zip."
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Datatrans account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Datatrans account."
"This payment method is currently unavailable.","Questo metodo di pagamento non é attualmente disponibile."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"This setting controls the height of the integrated iFrame. It is recommended to set this value to at least 400.","Questa impostazione definisce l'altezza dell'iFrame integrato. Si raccomanda di impostare il valore almeno a 400."
"This setting controls the user identification for alias manager (one-click checkout) transactions. In case the shipping address is checked and the addresses do not match the CVC the user is forced to reenter all the credit card details.","Questa impostazione controlla l'identificazione dell'utente per le transazioni con gestore alias (one-click checkout). Nel caso in cui l'indirizzo di spedizione venga controllato e non corrisponda al CVC, si devono reinserire i dettagli della carta di credito."
"This status is set, when the payment was successfull and it is authorized.","Questo status é selezionato quando il pagamento ha avuto esito positivo ed è autorizzato."
"This transaction is already closed for further captures.","Questa transazione é già chiusa."
"This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"This transaction no longer exists.","La transazione non esiste più."
"Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Titel","Titolo"
"Title","Title"
"Title of the payment method","Nome del metodo di pagamento"
"Total","Totale"
"Total Shipping Charges","Totale spese di trasporto"
"Track order history","Traccia lo storico dell'ordine"
"Transaction","tbcl_datatranscw_transaction_view"
"Transaction Authorized","Transazione autorizzata"
"Transaction Cancelled","Transazione annullata"
"Transaction Captured","Transazione registrata"
"Transaction History","Storico della transazione"
"Transaction ID Prefix","Transaction ID Prefix"
"Transaction Id","Transaction ID"
"Transaction Paid","La transazione é stata pagata"
"Transaction Uncertain","Transazione incerta"
"Transaction Updates","Aggiornamenti delle transazioni"
"Transaction cancelled successfully","La transazione é stata annullata con successo."
"Transaction captured successfully","Transazione registrata con successo"
"Transaction history","Sintesi delle transazioni"
"Transaction timed out, because customer never completed the checkout","Operazione scaduta, in quanto cliente non ha completato il checkout"
"Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Transactions","Transazioni"
"URLs","URL"
"Unable to save the invoice.","Impossibile salvare la fattura."
"Uncertain Status","Status incerto"
"Uncertain transactions","Transazioni incerte"
"Unknown address check result","Risultato della verifica degli indirizzi sconosciuto"
"Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se non si seleziona questa casella di controllo, il pagamento sarà catturato al PSP e non è possibile aggiungere ulteriori catture."
"Update","Aggiornamento"
"Update Qty's","Regolare la quantità"
"Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Use Base Currency","Usa valuta di base"
"Use Default","Usare le impostazioni standard"
"Use base currency","Usa la valuta di base"
"User Identification","Identificazione utente"
"VISA","Visa"
"Validation","Validazione"
"Version","Versione"
"View","Visualizza"
"Wait On Success Page","Aspetta sulla pagina di successo"
"We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del Datatrans plugin."
